	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
		1	1	1	1	2	2	2	2	3	3	3	3	6	6	6	6
		no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr
		no w	no w	w	w	no w	no w	w	w	no w	no w	w	w	no w	no w	w	w
VARIABLES	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate
																	
		(1.05)	(215.59)	(1.05)	(224.17)	(0.57)	(112.33)	(0.52)	(107.80)	(0.14)	(33.62)	(0.20)	(42.87)	(0.36)	(81.75)	(0.41)	(70.25)
_Istate_31		-15.59	-1,022.99	-15.49	-1,238.15	6.37	337.01	6.56	359.24	0.47	639.37	0.30	521.31	-7.18	-1,109.93	-7.11	-1,238.39
		(0.57)	(741.76)	(0.52)	(687.63)	(0.31)	(386.49)	(0.26)	(331.19)	(0.07)	(115.68)	(0.11)	(134.36)	(0.20)	(281.28)	(0.22)	(214.37)
_Istate_32		91.13	7,126.36	88.22	6,681.43	52.88	5,071.73	50.13	4,486.69	18.35	-157.88	18.85	-56.72	0.11	203.83	0.20	88.44
		(1.86)	(696.65)	(1.97)	(596.69)	(1.01)	(362.99)	(0.97)	(288.62)	(0.24)	(108.64)	(0.43)	(103.33)	(0.64)	(264.17)	(0.84)	(186.01)
_Istate_33		-23.07	-3,968.41	-22.84	-4,242.86	-1.89	-2,638.21	-1.65	-2,789.20	6.21	718.54	5.96	652.61	-12.76	-2,915.62	-12.24	-2,984.80
		(0.61)	(532.72)	(0.59)	(537.75)	(0.33)	(277.57)	(0.29)	(259.78)	(0.08)	(83.08)	(0.10)	(101.71)	(0.21)	(202.01)	(0.20)	(165.59)
_Istate_34		-39.87	-1,985.50	-39.99	-2,018.19	-21.26	-2,973.24	-20.82	-2,938.31	-0.88	322.77	-1.17	261.21	-2.36	303.69	-2.49	304.90
		(1.31)	(285.88)	(1.31)	(291.47)	(0.71)	(148.96)	(0.64)	(141.04)	(0.17)	(44.58)	(0.25)	(55.77)	(0.45)	(108.41)	(0.51)	(90.68)
_Istate_35		66.89	-136.11	67.57	-265.67	44.17	-425.32	44.11	-414.36	14.99	-1,310.63	15.68	-1,386.56	0.46	-1,268.73	0.95	-1,463.38
		(1.86)	(696.65)	(1.95)	(619.27)	(1.01)	(362.99)	(0.96)	(298.85)	(0.24)	(108.64)	(0.39)	(114.74)	(0.64)	(264.17)	(0.77)	(193.89)
_Istate_36		-28.39	-700.69	-29.07	-951.33	-28.00	-2,838.89	-27.68	-2,845.64	-0.74	179.19	-1.26	36.96	6.57	2,473.91	6.24	2,316.71
		(2.62)	(799.92)	(2.56)	(729.52)	(1.42)	(416.80)	(1.26)	(352.45)	(0.34)	(124.75)	(0.50)	(142.71)	(0.90)	(303.34)	(1.01)	(226.52)
_Istate_37		-12.41	-22.41	-13.08	-208.42	-0.13	116.32	0.04	124.04	1.23	-10.63	0.72	-136.37	-6.27	-1,235.02	-6.41	-1,393.55
		(2.71)	(724.12)	(2.64)	(661.97)	(1.47)	(377.30)	(1.30)	(319.34)	(0.35)	(112.93)	(0.51)	(128.86)	(0.93)	(274.59)	(1.03)	(206.00)
_Istate_38		2.40	-492.47	3.66	-725.45	13.89	1,688.50	14.20	1,660.62	6.78	-881.90	7.22	-1,088.21	-5.78	-1,112.38	-5.27	-1,234.75
